iter	Passed	Remaining
477	616	673
478	617	672
479	618	670
480	619	668
481	620	667
482	621	665
483	622	663
484	623	661
485	624	660
486	625	658
487	625	656
488	626	654
489	627	653
490	628	651
491	629	649
492	630	648
493	631	646
494	632	645
495	633	643
496	634	642
497	635	640
498	636	638
499	637	637
500	637	635
501	638	633
502	639	632
503	640	630
504	641	628
505	642	627
506	643	625
507	644	623
508	645	622
509	646	621
510	647	619
511	648	617
512	649	616
513	650	614
514	651	613
515	651	611
516	652	609
517	653	608
518	654	606
519	655	605
520	656	603
521	656	601
522	657	599
523	658	598
524	659	596
525	660	595
526	661	593
527	662	592
528	663	590
529	664	589
530	665	587
531	666	586
532	667	584
533	668	583
534	669	581
535	669	579
536	670	578
537	671	576
538	672	575
539	673	573
540	674	571
541	674	570
542	676	569
543	677	568
544	678	566
545	679	565
546	680	563
547	681	562
548	682	560
549	683	558
550	683	557
551	684	555
552	685	554
553	686	552
554	687	551
555	688	549
556	689	548
557	690	546
558	691	545
559	692	543
560	693	542
561	694	540
562	694	539
563	695	537
564	696	536
565	697	534
566	698	533
567	699	531
568	700	530
569	701	528
570	702	527
571	702	525
572	703	524
573	704	523
574	705	521
575	706	520
576	707	518
577	708	517
578	709	516
579	710	514
580	711	513
581	712	511
582	713	510
583	714	508
584	715	507
585	716	505
586	716	504
587	717	503
588	718	501
589	719	500
590	720	498
591	721	497
592	722	495
593	723	494
594	724	493
595	725	491
596	726	490
597	727	488
598	728	487
599	728	485
600	729	484
601	730	483
602	731	481
603	732	480
604	733	478
605	734	477
606	735	476
607	736	474
608	737	473
609	737	471
610	738	470
611	739	468
612	740	467
613	741	466
614	742	464
615	743	463
616	744	461
617	745	460
618	746	459
619	746	457
620	747	456
621	748	455
622	749	453
623	750	452
624	751	451
625	752	449
626	753	448
627	754	446
628	755	445
629	756	444
630	757	442
631	757	441
632	758	439
633	759	438
634	760	437
635	761	435
636	762	434
637	763	433
638	764	431
639	765	430
640	766	429
641	767	427
642	768	426
643	769	425
644	769	423
645	770	422
646	771	421
647	772	419
648	773	418
649	774	417
650	775	415
651	776	414
652	777	413
653	778	411
654	779	410
655	780	409
656	780	407
657	781	406
658	782	405
659	783	403
660	784	402
661	785	401
662	786	399
663	787	398
664	788	397
665	788	395
666	789	394
667	790	392
668	791	391
669	792	390
670	793	388
671	794	387
672	795	386
673	796	385
674	797	383
675	798	382
676	799	381
677	800	379
678	800	378
679	801	377
680	802	376
681	804	374
682	804	373
683	805	372
684	806	371
685	807	369
686	808	368
687	809	367
688	810	365
689	811	364
690	812	363
691	813	361
692	814	360
693	815	359
694	815	358
695	816	356
696	817	355
697	818	354
698	819	352
699	820	351
700	821	350
701	822	349
702	823	347
703	824	346
704	825	345
705	826	344
706	827	342
707	828	341
708	829	340
709	829	338
710	830	337
711	831	336
712	832	335
713	833	333
714	834	332
715	835	331
716	836	329
717	836	328
718	837	327
719	838	326
720	839	324
721	840	323
722	841	322
723	842	321
724	843	319
725	844	318
726	845	317
727	846	316
728	847	315
729	848	313
730	849	312
731	850	311
732	851	310
733	852	308
734	852	307
735	853	306
736	854	305
737	855	303
738	856	302
739	857	301
740	858	300
741	859	299
742	861	297
743	862	296
744	863	295
745	864	294
746	865	293
747	866	291
748	867	290
749	868	289
750	869	288
751	870	287
752	872	286
753	873	284
754	873	283
755	874	282
756	875	281
757	876	279
758	877	278
759	878	277
760	879	276
761	880	274
762	881	273
763	882	272
764	883	271
765	883	270
766	884	268
767	885	267
768	886	266
769	887	265
770	888	263
771	889	262
772	890	261
773	891	260
774	892	259
775	893	257
776	893	256
777	894	255
778	895	254
779	896	252
780	897	251
781	898	250
782	899	249
783	900	247
784	901	246
785	902	245
786	903	244
787	903	243
788	904	241
789	905	240
790	906	239
791	907	238
792	908	237
793	909	235
794	910	234
795	910	233
796	911	232
797	912	231
798	913	229
799	914	228
800	915	227
801	916	226
802	917	225
803	918	223
804	919	222
805	920	221
806	921	220
807	922	219
808	922	217
809	923	216
810	924	215
811	925	214
812	926	213
813	927	211
814	927	210
815	928	209
816	929	208
817	930	207
818	931	205
819	932	204
820	932	203
821	933	202
822	934	201
823	935	199
824	936	198
825	937	197
826	938	196
827	938	195
828	939	193
829	940	192
830	941	191
831	942	190
832	943	189
833	944	187
834	945	186
835	946	185
836	947	184
837	948	183
838	948	182
839	949	180
840	950	179
841	951	178
842	952	177
843	953	176
844	954	175
845	954	173
846	955	172
847	956	171
848	957	170
849	958	169
850	959	167
851	959	166
852	961	165
853	961	164
854	962	163
855	963	162
856	964	160
857	965	159
858	966	158
859	967	157
860	968	156
861	969	155
862	970	154
863	971	152
864	971	151
865	972	150
866	973	149
867	974	148
868	975	147
869	976	145
870	977	144
871	978	143
872	978	142
873	979	141
874	980	140
875	981	138
876	982	137
877	983	136
878	984	135
879	985	134
880	986	133
881	986	132
882	987	130
883	988	129
884	989	128
885	990	127
886	991	126
887	992	125
888	993	124
889	994	122
890	995	121
891	995	120
892	996	119
893	997	118
894	998	117
895	999	116
896	1000	114
897	1001	113
898	1002	112
899	1003	111
900	1004	110
901	1004	109
902	1006	108
903	1006	106
904	1007	105
905	1008	104
906	1009	103
907	1010	102
908	1011	101
909	1012	100
910	1013	98
911	1014	97
912	1015	96
913	1015	95
914	1016	94
915	1017	93
916	1018	92
917	1019	91
918	1020	89
919	1021	88
920	1022	87
921	1023	86
922	1024	85
923	1025	84
924	1025	83
925	1026	82
926	1027	80
927	1028	79
928	1029	78
929	1030	77
930	1031	76
931	1032	75
932	1033	74
933	1034	73
934	1034	71
935	1036	70
936	1036	69
937	1037	68
938	1038	67
939	1039	66
940	1040	65
941	1041	64
942	1042	63
943	1043	61
944	1044	60
945	1045	59
946	1046	58
947	1047	57
948	1048	56
949	1049	55
950	1049	54
951	1051	53
952	1052	51
953	1053	50
954	1054	49
955	1054	48
956	1055	47
957	1056	46
958	1057	45
959	1058	44
960	1059	42
961	1060	41
962	1061	40
963	1062	39
964	1063	38
965	1063	37
966	1064	36
967	1066	35
968	1066	34
969	1067	33
970	1068	31
971	1069	30
972	1070	29
973	1071	28
974	1072	27
975	1073	26
976	1074	25
977	1075	24
978	1075	23
979	1076	21
980	1077	20
981	1078	19
982	1079	18
983	1080	17
984	1081	16
985	1082	15
986	1083	14
987	1084	13
988	1085	12
989	1086	10
990	1087	9
991	1088	8
992	1088	7
993	1089	6
994	1090	5
995	1091	4
996	1092	3
997	1093	2
998	1094	1
999	1095	0
